case_id,session,previous_tool_type,next_action_type,has_substantive_generation,fixed_action,label,input_tokens,output_tokens
C01,S2,Bash:build_lint,Bash,True,NONE,NOT_BYPASSABLE,328397,399
C02,S2,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,326967,1227
C03,S2,Bash:build_lint,Bash,True,INSPECT_FAILURE,NOT_BYPASSABLE,326737,130
C04,S2,Edit+Edit,Bash,True,NONE,NOT_BYPASSABLE,325685,981
C05,S2,Read,Edit+Edit,True,NONE,NOT_BYPASSABLE,324679,716
C06,S2,Bash:build_lint,Read,True,INSPECT_FAILURE,NOT_BYPASSABLE,321203,227
C07,S2,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,318836,1664
C08,S2,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,316795,1643
C09,S2,Bash:script,Bash,True,NONE,NOT_BYPASSABLE,315315,244
C10,S2,Bash:build_lint,Bash,True,NONE,NOT_BYPASSABLE,314324,796
C11,S2-sub,Bash:file_read,final_text,True,NONE,NOT_BYPASSABLE,44390,3803
C12,S2-sub,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,43318,98
C13,S2-sub,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,42408,242
C14,S2-sub,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,39829,331
C15,S2-sub,Bash:search+Bash:search,Bash,True,NONE,NOT_BYPASSABLE,37431,332
C16,S2-sub,Bash:file_read,Bash+Bash,True,NONE,NOT_BYPASSABLE,31743,496
C17,S2-sub,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,23581,313
C18,S2-sub,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,18777,205
C19,S1,Bash:script,final_text,True,NONE,NOT_BYPASSABLE,140342,2323
C20,S2-sub,Bash:build_lint,final_text,True,NONE,NOT_BYPASSABLE,87784,2552
C21,S2-sub,Bash:file_read,Bash,True,RUN_TARGETED_TEST,NOT_BYPASSABLE,87358,183
C22,S2-sub,Bash:search,Bash,True,NONE,NOT_BYPASSABLE,84823,808
C23,S2-sub,Bash:search,Bash,True,RETRY,NOT_BYPASSABLE,84041,120
C24,S2-sub,Bash:file_read,Bash,True,NONE,NOT_BYPASSABLE,83675,311
C25,S2-sub,Bash:test,Bash,True,NONE,NOT_BYPASSABLE,82648,138
C26,S2-sub,Bash:script,Bash,True,RUN_TARGETED_TEST,NOT_BYPASSABLE,82311,255
C27,S2-sub,Bash:script,Bash,True,NONE,NOT_BYPASSABLE,81655,534
C28,S2-sub,Bash:script,Bash,True,NONE,NOT_BYPASSABLE,80329,337
C29,S2-sub,Bash:script,Bash,True,NONE,NOT_BYPASSABLE,79681,542
C30,S1,Bash:git,final_text,True,NONE,NOT_BYPASSABLE,132995,4610
