chunk_id,call_id,tool_type,tokens,oracle_label,oracle_decision
T01.01,T01,search,390,USEFUL,KEEP
T01.02,T01,search,45,USEFUL,KEEP
T02.01,T02,search,389,REQUIRED,KEEP
T02.02,T02,search,393,REQUIRED,KEEP
T03.01,T03,search,395,USEFUL,KEEP
T03.02,T03,search,395,USEFUL,KEEP
T03.03,T03,search,35,USEFUL,KEEP
T04.01,T04,git,112,REQUIRED,KEEP
T04.02,T04,git,231,USEFUL,KEEP
T04.03,T04,git,224,USEFUL,KEEP
T05.01,T05,search,65,USEFUL,KEEP
T05.02,T05,search,264,USEFUL,KEEP
T05.03,T05,search,85,USEFUL,KEEP
T05.04,T05,search,200,USEFUL,KEEP
T05.05,T05,search,164,REQUIRED,KEEP
T05.06,T05,search,115,REQUIRED,KEEP
T05.07,T05,search,103,USEFUL,KEEP
T05.08,T05,search,111,USEFUL,KEEP
T06.01,T06,search,187,USEFUL,KEEP
T06.02,T06,search,116,REQUIRED,KEEP
T06.03,T06,search,388,REQUIRED,KEEP
T06.04,T06,search,379,USEFUL,KEEP
T06.05,T06,search,26,USEFUL,KEEP
T07.01,T07,search,368,REQUIRED,KEEP
T07.02,T07,search,397,USEFUL,KEEP
T07.03,T07,search,397,REQUIRED,KEEP
T07.04,T07,search,169,REQUIRED,KEEP
T08.01,T08,git,398,USEFUL,KEEP
T08.02,T08,git,385,USEFUL,KEEP
T08.03,T08,git,379,USEFUL,KEEP
T08.04,T08,git,246,REQUIRED,KEEP
T09.01,T09,git,390,REQUIRED,KEEP
T09.02,T09,git,282,USEFUL,KEEP
T10.01,T10,git,396,REQUIRED,KEEP
T10.02,T10,git,74,USEFUL,KEEP
